"text","label"
"Рынок акций показал рост на фоне позитивных новостей.","1"
"Компания XYZ объявила о банкротстве, акции упали.","0"
"Центральный банк повысил ключевую ставку.","0"
"Новые санкции повлияли на экономику страны.","0"
"Технологический сектор демонстрирует устойчивый рост.","1"
"Криптовалюты продолжают падать на фоне регуляторных изменений.","0"
"Инфляция в стране достигла рекордного уровня.","0"
"Компания ABC представила новый продукт, акции выросли.","1"
"Экономический кризис привел к сокращению рабочих мест.","0"
"Новые инвестиции в стартапы стимулируют рост инноваций.","1"
"Банки начали снижать процентные ставки по кредитам.","1"
"Нефтяные компании столкнулись с падением цен на нефть.","0"
"Правительство объявило о новых мерах поддержки бизнеса.","1"
"Курс доллара продолжает расти на фоне нестабильности.","0"
"Компания XYZ запустила новый завод, создав сотни рабочих мест.","1"
"Рынок недвижимости демонстрирует признаки восстановления.","1"
"Безработица в стране достигла критического уровня.","0"
"Новые технологии в сельском хозяйстве повышают урожайность.","1"
"Эксперты прогнозируют рост экономики в следующем квартале.","1"
"Компания XYZ объявила о слиянии с крупным конкурентом.","1"
"Кризис в энергетическом секторе привел к росту цен на топливо.","0"
"Новые законы о защите данных вступили в силу.","1"
"Компания ABC увеличила прибыль на 20% в этом квартале.","1"
"Рост цен на продукты питания вызывает беспокойство у населения.","0"
"Технологические гиганты инвестируют в искусственный интеллект.","1"
"Кризис в строительной отрасли привел к остановке проектов.","0"
"Новые стартапы привлекают миллионы долларов инвестиций.","1"
"Эксперты предупреждают о возможной рецессии.","0"
"Компания XYZ представила новый электромобиль.","1"
"Рынок труда восстанавливается после пандемии.","1"
"Криптовалюты снова растут на фоне позитивных новостей.","1"
"Центральный банк снизил ключевую ставку.","1"
"Компания ABC объявила о сокращении штата.","0"
"Новые меры поддержки малого бизнеса вступили в силу.","1"
"Рост цен на жилье вызывает беспокойство у покупателей.","0"
"Компания XYZ инвестирует в зеленые технологии.","1"
"Экономика страны демонстрирует признаки восстановления.","1"
"Кризис в туристической отрасли продолжается.","0"
"Новые законы о налогах вызвали споры среди бизнеса.","0"
"Компания ABC увеличила экспорт на 15%.","1"
"Рынок акций реагирует на глобальные события.","1"
"Криптовалюты теряют популярность среди инвесторов.","0"
"Центральный банк вводит новые меры контроля.","0"
"Компания XYZ объявила о планах выхода на новые рынки.","1"
"Рост цен на энергоносители вызывает инфляцию.","0"
"Новые технологии в медицине спасают жизни.","1"
"Компания ABC снизила цены на свои продукты.","1"
"Экономический рост замедляется на фоне глобальных кризисов.","0"
"Криптовалюты снова в центре внимания инвесторов.","1"
"Центральный банк предупреждает о рисках инфляции.","0"
"Компания XYZ увеличила производство на 30%.","1"
"Рынок недвижимости стабилизируется после кризиса.","1"
"Новые законы о защите окружающей среды вступили в силу.","1"
"Компания ABC объявила о новых партнерствах.","1"
"Кризис в банковском секторе вызывает панику.","0"
"Технологические компании продолжают расти.","1"
"Рост цен на транспортные услуги вызывает недовольство.","0"
"Компания XYZ представила новую линейку продуктов.","1"
"Экономика страны стабилизируется после кризиса.","1"
"Криптовалюты теряют доверие инвесторов.","0"
"Центральный банк вводит новые ограничения.","0"
"Компания ABC увеличила инвестиции в исследования.","1"
"Рынок акций демонстрирует волатильность.","0"
"Новые технологии в энергетике снижают затраты.","1"
"Компания XYZ объявила о планах расширения.","1"
"Кризис в сельском хозяйстве вызывает рост цен.","0"
"Экономические реформы приносят первые результаты.","1"
"Криптовалюты снова на подъеме.","1"
"Центральный банк снижает ставки для стимулирования экономики.","1"
"Компания ABC увеличила долю на рынке.","1"
"Рынок недвижимости восстанавливается после спада.","1"
"Новые законы о труде вызвали споры.","0"
"Компания XYZ инвестирует в новые технологии.","1"
"Экономика страны демонстрирует устойчивый рост.","1"
"Кризис в энергетике продолжается.","0"
"Новые меры поддержки экономики вступили в силу.","1"
"Компания ABC объявила о рекордной прибыли.","1"
"Рынок акций реагирует на политические события.","0"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые меры регулирования.","0"
"Компания XYZ увеличила экспорт на 25%.","1"
"Рост цен на продукты вызывает недовольство.","0"
"Новые технологии в производстве снижают затраты.","1"
"Компания ABC объявила о новых инвестициях.","1"
"Экономический рост замедляется.","0"
"Криптовалюты снова в центре внимания.","1"
"Центральный банк предупреждает о рисках.","0"
"Компания XYZ увеличила производственные мощности.","1"
"Рынок недвижимости стабилизируется.","1"
"Новые законы о защите прав потребителей вступили в силу.","1"
"Компания ABC объявила о новых проектах.","1"
"Кризис в банковском секторе продолжается.","0"
"Технологические компании продолжают инвестировать.","1"
"Рост цен на транспорт вызывает недовольство.","0"
"Компания XYZ представила новые решения.","1"
"Экономика страны восстанавливается.","1"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые ограничения.","0"
"Компания ABC увеличила инвестиции в инновации.","1"
"Рынок акций демонстрирует нестабильность.","0"
"Новые технологии в энергетике снижают затраты.","1"
"Компания XYZ объявила о планах расширения.","1"
"Кризис в сельском хозяйстве продолжается.","0"
"Экономические реформы приносят результаты.","1"
"Криптовалюты снова на подъеме.","1"
"Центральный банк снижает ставки.","1"
"Компания ABC увеличила долю на рынке.","1"
"Рынок недвижимости восстанавливается.","1"
"Новые законы о труде вызвали споры.","0"
"Компания XYZ инвестирует в новые технологии.","1"
"Экономика страны демонстрирует рост.","1"
"Кризис в энергетике продолжается.","0"
"Новые меры поддержки экономики вступили в силу.","1"
"Компания ABC объявила о рекордной прибыли.","1"
"Рынок акций реагирует на политические события.","0"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые меры регулирования.","0"
"Компания XYZ увеличила экспорт на 25%.","1"
"Рост цен на продукты вызывает недовольство.","0"
"Новые технологии в производстве снижают затраты.","1"
"Компания ABC объявила о новых инвестициях.","1"
"Экономический рост замедляется.","0"
"Криптовалюты снова в центре внимания.","1"
"Центральный банк предупреждает о рисках.","0"
"Компания XYZ увеличила производственные мощности.","1"
"Рынок недвижимости стабилизируется.","1"
"Новые законы о защите прав потребителей вступили в силу.","1"
"Компания ABC объявила о новых проектах.","1"
"Кризис в банковском секторе продолжается.","0"
"Технологические компании продолжают инвестировать.","1"
"Рост цен на транспорт вызывает недовольство.","0"
"Компания XYZ представила новые решения.","1"
"Экономика страны восстанавливается.","1"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые ограничения.","0"
"Компания ABC увеличила инвестиции в инновации.","1"
"Рынок акций демонстрирует нестабильность.","0"
"Новые технологии в энергетике снижают затраты.","1"
"Компания XYZ объявила о планах расширения.","1"
"Кризис в сельском хозяйстве продолжается.","0"
"Экономические реформы приносят результаты.","1"
"Криптовалюты снова на подъеме.","1"
"Центральный банк снижает ставки.","1"
"Компания ABC увеличила долю на рынке.","1"
"Рынок недвижимости восстанавливается.","1"
"Новые законы о труде вызвали споры.","0"
"Компания XYZ инвестирует в новые технологии.","1"
"Экономика страны демонстрирует рост.","1"
"Кризис в энергетике продолжается.","0"
"Новые меры поддержки экономики вступили в силу.","1"
"Компания ABC объявила о рекордной прибыли.","1"
"Рынок акций реагирует на политические события.","0"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые меры регулирования.","0"
"Компания XYZ увеличила экспорт на 25%.","1"
"Рост цен на продукты вызывает недовольство.","0"
"Новые технологии в производстве снижают затраты.","1"
"Компания ABC объявила о новых инвестициях.","1"
"Экономический рост замедляется.","0"
"Криптовалюты снова в центре внимания.","1"
"Центральный банк предупреждает о рисках.","0"
"Компания XYZ увеличила производственные мощности.","1"
"Рынок недвижимости стабилизируется.","1"
"Новые законы о защите прав потребителей вступили в силу.","1"
"Компания ABC объявила о новых проектах.","1"
"Кризис в банковском секторе продолжается.","0"
"Технологические компании продолжают инвестировать.","1"
"Рост цен на транспорт вызывает недовольство.","0"
"Компания XYZ представила новые решения.","1"
"Экономика страны восстанавливается.","1"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые ограничения.","0"
"Компания ABC увеличила инвестиции в инновации.","1"
"Рынок акций демонстрирует нестабильность.","0"
"Новые технологии в энергетике снижают затраты.","1"
"Компания XYZ объявила о планах расширения.","1"
"Кризис в сельском хозяйстве продолжается.","0"
"Экономические реформы приносят результаты.","1"
"Криптовалюты снова на подъеме.","1"
"Центральный банк снижает ставки.","1"
"Компания ABC увеличила долю на рынке.","1"
"Рынок недвижимости восстанавливается.","1"
"Новые законы о труде вызвали споры.","0"
"Компания XYZ инвестирует в новые технологии.","1"
"Экономика страны демонстрирует рост.","1"
"Кризис в энергетике продолжается.","0"
"Новые меры поддержки экономики вступили в силу.","1"
"Компания ABC объявила о рекордной прибыли.","1"
"Рынок акций реагирует на политические события.","0"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые меры регулирования.","0"
"Компания XYZ увеличила экспорт на 25%.","1"
"Рост цен на продукты вызывает недовольство.","0"
"Новые технологии в производстве снижают затраты.","1"
"Компания ABC объявила о новых инвестициях.","1"
"Экономический рост замедляется.","0"
"Криптовалюты снова в центре внимания.","1"
"Центральный банк предупреждает о рисках.","0"
"Компания XYZ увеличила производственные мощности.","1"
"Рынок недвижимости стабилизируется.","1"
"Новые законы о защите прав потребителей вступили в силу.","1"
"Компания ABC объявила о новых проектах.","1"
"Кризис в банковском секторе продолжается.","0"
"Технологические компании продолжают инвестировать.","1"
"Рост цен на транспорт вызывает недовольство.","0"
"Компания XYZ представила новые решения.","1"
"Экономика страны восстанавливается.","1"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые ограничения.","0"
"Компания ABC увеличила инвестиции в инновации.","1"
"Рынок акций демонстрирует нестабильность.","0"
"Новые технологии в энергетике снижают затраты.","1"
"Компания XYZ объявила о планах расширения.","1"
"Кризис в сельском хозяйстве продолжается.","0"
"Экономические реформы приносят результаты.","1"
"Криптовалюты снова на подъеме.","1"
"Центральный банк снижает ставки.","1"
"Компания ABC увеличила долю на рынке.","1"
"Рынок недвижимости восстанавливается.","1"
"Новые законы о труде вызвали споры.","0"
"Компания XYZ инвестирует в новые технологии.","1"
"Экономика страны демонстрирует рост.","1"
"Кризис в энергетике продолжается.","0"
"Новые меры поддержки экономики вступили в силу.","1"
"Компания ABC объявила о рекордной прибыли.","1"
"Рынок акций реагирует на политические события.","0"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые меры регулирования.","0"
"Компания XYZ увеличила экспорт на 25%.","1"
"Рост цен на продукты вызывает недовольство.","0"
"Новые технологии в производстве снижают затраты.","1"
"Компания ABC объявила о новых инвестициях.","1"
"Экономический рост замедляется.","0"
"Криптовалюты снова в центре внимания.","1"
"Центральный банк предупреждает о рисках.","0"
"Компания XYZ увеличила производственные мощности.","1"
"Рынок недвижимости стабилизируется.","1"
"Новые законы о защите прав потребителей вступили в силу.","1"
"Компания ABC объявила о новых проектах.","1"
"Кризис в банковском секторе продолжается.","0"
"Технологические компании продолжают инвестировать.","1"
"Рост цен на транспорт вызывает недовольство.","0"
"Компания XYZ представила новые решения.","1"
"Экономика страны восстанавливается.","1"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые ограничения.","0"
"Компания ABC увеличила инвестиции в инновации.","1"
"Рынок акций демонстрирует нестабильность.","0"
"Новые технологии в энергетике снижают затраты.","1"
"Компания XYZ объявила о планах расширения.","1"
"Кризис в сельском хозяйстве продолжается.","0"
